Date,up,down,sum,ma150_changes
2021-11-09,1329,2006,-677,-60.64666666666667
2021-11-10,962,2396,-1434,-67.76
2021-11-11,1911,1405,506,-57.93333333333333
2021-11-12,1785,1580,205,-54.78
2021-11-15,1440,1931,-491,-59.973333333333336
2021-11-16,1520,1836,-316,-61.946666666666665
2021-11-17,989,2395,-1406,-69.42
2021-11-18,1007,2389,-1382,-69.77333333333333
2021-11-19,1244,2150,-906,-65.24
2021-11-22,1223,2230,-1007,-84.37333333333333
2021-11-23,1425,1982,-557,-87.60666666666667
2021-11-24,2061,1255,806,-92.04
2021-11-26,581,2743,-2162,-114.37333333333333
2021-11-29,1343,2085,-742,-116.61333333333333
2021-11-30,991,2431,-1440,-128.55333333333334
2021-12-01,802,2626,-1824,-138.03333333333333
2021-12-02,2275,1142,1133,-122.74666666666667
2021-12-03,666,2750,-2084,-137.74666666666667
2021-12-06,2244,1186,1058,-120.77333333333333
2021-12-07,2706,745,1961,-104.24
2021-12-08,2292,1136,1156,-92.55333333333333
2021-12-09,742,2715,-1973,-112.7
2021-12-10,1354,2089,-735,-106.52666666666667
2021-12-13,943,2495,-1552,-113.73333333333333
2021-12-14,990,2444,-1454,-110.9
2021-12-15,2250,1161,1089,-103.56
2021-12-16,1082,2353,-1271,-126.04
2021-12-17,2015,1433,582,-123.42666666666666
2021-12-20,960,2470,-1510,-134.29333333333332
2021-12-21,2632,749,1883,-116.95333333333333
2021-12-22,2114,1314,800,-120.62666666666667
2021-12-23,2395,1015,1380,-113.3
2021-12-27,1703,1731,-28,-112.61333333333333
2021-12-28,1140,2293,-1153,-113.09333333333333
2021-12-29,1398,2016,-618,-128.2
2021-12-30,2053,1352,701,-130.66666666666666
2021-12-31,1547,1885,-338,-132.96
2022-01-03,2528,988,1540,-128.19333333333333
2022-01-04,1368,2072,-704,-132.10666666666665
2022-01-05,660,2810,-2150,-142.86666666666667
2022-01-06,1660,1736,-76,-146.66666666666666
2022-01-07,1423,1989,-566,-157.03333333333333
2022-01-10,1220,2227,-1007,-168.04
2022-01-11,2375,1057,1318,-157.26
2022-01-12,1335,2069,-734,-161.81333333333333
2022-01-13,1010,2392,-1382,-175.62666666666667
2022-01-14,1649,1712,-63,-174.64666666666668
2022-01-18,565,2874,-2309,-184.22666666666666
2022-01-19,1081,2377,-1296,-191.42666666666668
2022-01-20,985,2493,-1508,-198.82666666666665
2022-01-21,649,2906,-2257,-204.65333333333334
2022-01-24,1927,1646,281,-206.27333333333334
2022-01-25,1412,2076,-664,-210.5
2022-01-26,1081,2362,-1281,-223.14
2022-01-27,700,2854,-2154,-246.24666666666667
2022-01-28,2421,1025,1396,-238.48
2022-01-31,3067,474,2593,-218.77333333333334
2022-02-01,2595,932,1663,-202.07333333333332
2022-02-02,1015,2450,-1435,-209.01333333333332
2022-02-03,694,2747,-2053,-225.61333333333334
2022-02-04,2295,1100,1195,-211.18
2022-02-07,2068,1378,690,-197.65333333333334
2022-02-08,2233,1174,1059,-182.33333333333334
2022-02-09,2496,955,1541,-165.00666666666666
2022-02-10,1037,2419,-1382,-186.32666666666665
2022-02-11,928,2542,-1614,-197.56
2022-02-14,1089,2381,-1292,-194.58666666666667
2022-02-15,2954,529,2425,-168.90666666666667
2022-02-16,1742,1657,85,-163.9
2022-02-17,643,2810,-2167,-169.7
2022-02-18,1065,2335,-1270,-169.25333333333333
2022-02-22,855,2638,-1783,-193.90666666666667
2022-02-23,798,2642,-1844,-218.42666666666668
2022-02-24,2261,1307,954,-203.56666666666666
2022-02-25,2528,924,1604,-192.73333333333332
2022-02-28,1700,1766,-66,-190.76
2022-03-01,1200,2337,-1137,-188.65333333333334
2022-03-02,2362,1080,1282,-190.5
2022-03-03,1083,2384,-1301,-201.06666666666666
2022-03-04,853,2600,-1747,-207.64666666666668
2022-03-07,902,2562,-1660,-219.84666666666666
2022-03-08,1884,1557,327,-216.33333333333334
2022-03-09,2852,617,2235,-194.74
2022-03-10,1281,2113,-832,-210.06666666666666
2022-03-11,911,2528,-1617,-222.5
2022-03-14,837,2598,-1761,-233.52666666666667
2022-03-15,2229,1198,1031,-224.91333333333333
2022-03-16,2878,589,2289,-210.51333333333332
2022-03-17,2646,832,1814,-194.92666666666668
2022-03-18,2365,1092,1273,-179.19333333333333
2022-03-21,1255,2222,-967,-177.07333333333332
2022-03-22,2544,913,1631,-157.96
2022-03-23,1111,2325,-1214,-162.26666666666668
2022-03-24,2319,1119,1200,-144.94666666666666
2022-03-25,1349,2078,-729,-160.04
2022-03-28,1622,1865,-243,-173.37333333333333
2022-03-29,2704,833,1871,-167.79333333333332
2022-03-30,1052,2389,-1337,-179.78
2022-03-31,1224,2307,-1083,-180.48
2022-04-01,2022,1443,579,-188.92666666666668
2022-04-04,2199,1316,883,-180.69333333333333
2022-04-05,846,2654,-1808,-198.08666666666667
2022-04-06,959,2577,-1618,-212.50666666666666
2022-04-07,1361,2122,-761,-222.83333333333334
2022-04-08,1229,2226,-997,-225.03333333333333
2022-04-11,1097,2363,-1266,-228.18666666666667
2022-04-12,1518,1940,-422,-221.96
2022-04-13,2639,855,1784,-210.85333333333332
2022-04-14,1140,2350,-1210,-212.08666666666667
2022-04-18,1120,2394,-1274,-220.08666666666667
2022-04-19,2625,829,1796,-197.92
2022-04-20,1728,1764,-36,-203.61333333333334
2022-04-21,743,2770,-2027,-217.92666666666668
2022-04-22,770,2661,-1891,-231.76
2022-04-25,1989,1531,458,-213.16666666666666
2022-04-26,473,3043,-2570,-232.98
2022-04-27,1361,2097,-736,-246.73333333333332
2022-04-28,2321,1189,1132,-249.66
2022-04-29,852,2607,-1755,-257.94666666666666
2022-05-02,2106,1374,732,-259.1933333333333
2022-05-03,1887,1547,340,-242.2
2022-05-04,2565,935,1630,-227.31333333333333
2022-05-05,495,2961,-2466,-243.00666666666666
2022-05-06,812,2643,-1831,-260.43333333333334
2022-05-09,519,3083,-2564,-266.38666666666666
2022-05-10,1560,1993,-433,-273.32
2022-05-11,711,2884,-2173,-283.0933333333333
2022-05-12,1996,1564,432,-290.2266666666667
2022-05-13,2752,822,1930,-272.74
2022-05-16,1411,2053,-642,-272.26
2022-05-17,2808,667,2141,-262.4533333333333
2022-05-18,630,2828,-2198,-280.46
2022-05-19,1889,1504,385,-284.2
2022-05-20,1481,1919,-438,-283.26666666666665
2022-05-23,1987,1422,565,-276.74666666666667
2022-05-24,918,2526,-1608,-293.53333333333336
2022-05-25,2409,1027,1382,-287.76
2022-05-26,2620,866,1754,-276.18666666666667
2022-05-27,2873,586,2287,-255.9
2022-05-31,1451,2045,-594,-265.0133333333333
2022-06-01,1199,2262,-1063,-268.28
2022-06-02,2627,852,1775,-246.48666666666668
2022-06-03,1270,2140,-870,-262.31333333333333
2022-06-06,1726,1742,-16,-262.12
2022-06-07,2205,1258,947,-268.3933333333333
2022-06-08,1561,1882,-321,-269.9533333333333
2022-06-09,881,2604,-1723,-289.9533333333333
