Date,up,down,sum,ma150_changes
2019-06-18,1441,548,893,85.09333333333333
2019-06-19,1206,750,456,93.76
2019-06-20,1430,548,882,106.66666666666667
2019-06-21,701,1274,-573,103.48666666666666
2019-06-24,761,1213,-452,104.35333333333334
2019-06-25,610,1350,-740,95.80666666666667
2019-06-26,1071,910,161,95.68666666666667
2019-06-27,1501,480,1021,108.56
2019-06-28,1574,411,1163,125.65333333333334
2019-07-01,1166,804,362,122.13333333333334
2019-07-02,1003,975,28,123.54
2019-07-03,1469,490,979,124.57333333333334
2019-07-05,1004,955,49,128.07333333333332
2019-07-08,631,1322,-691,113.81333333333333
2019-07-09,981,976,5,114.88
2019-07-10,1194,774,420,115.31333333333333
2019-07-11,962,989,-27,108.03333333333333
2019-07-12,1281,681,600,121.68666666666667
2019-07-15,889,1068,-179,123.03333333333333
2019-07-16,995,967,28,129.76666666666668
2019-07-17,593,1377,-784,129.45333333333335
2019-07-18,1059,905,154,132.73333333333332
2019-07-19,763,1199,-436,125.17333333333333
2019-07-22,916,1053,-137,128.80666666666667
2019-07-23,1371,597,774,142.51333333333332
2019-07-24,1460,529,931,158.72666666666666
2019-07-25,493,1487,-994,152.48
2019-07-26,1389,580,809,165.53333333333333
2019-07-29,921,1052,-131,173.06
2019-07-30,1215,751,464,184.54666666666665
2019-07-31,625,1365,-740,187.52
2019-08-01,600,1399,-799,171.3
2019-08-02,661,1334,-673,164.24666666666667
2019-08-05,172,1845,-1673,151.61333333333334
2019-08-06,1414,590,824,151.38
2019-08-07,1003,980,23,147.48
2019-08-08,1700,293,1407,160.96666666666667
2019-08-09,503,1472,-969,143.46666666666667
2019-08-12,491,1505,-1014,128.6
2019-08-13,1448,550,898,126.23333333333333
2019-08-14,120,1907,-1787,108.22666666666667
2019-08-15,969,1014,-45,104.33333333333333
2019-08-16,1747,246,1501,113.18666666666667
2019-08-19,1598,405,1193,125.68666666666667
2019-08-20,662,1327,-665,117.36666666666666
2019-08-21,1443,542,901,118.85333333333334
2019-08-22,838,1133,-295,110.7
2019-08-23,203,1798,-1595,93.31333333333333
2019-08-26,1419,577,842,106.74666666666667
2019-08-27,567,1434,-867,100.98666666666666
2019-08-28,1496,494,1002,103.62666666666667
2019-08-29,1663,336,1327,105.07333333333334
2019-08-30,1147,812,335,109.24666666666667
2019-09-03,687,1321,-634,102.75333333333333
2019-09-04,1656,334,1322,104.06666666666666
2019-09-05,1449,555,894,104.48
2019-09-06,1068,901,167,103.81333333333333
2019-09-09,1309,679,630,103.09333333333333
2019-09-10,1264,713,551,103.04666666666667
2019-09-11,1503,484,1019,112.08
2019-09-12,984,1015,-31,116.70666666666666
2019-09-13,1008,993,15,117.85333333333334
2019-09-16,1040,938,102,114.64666666666666
2019-09-17,978,1013,-35,107.67333333333333
2019-09-18,833,1144,-311,102.5
2019-09-19,957,1028,-71,102.3
2019-09-20,946,1031,-85,93.85333333333334
2019-09-23,1032,938,94,90.81333333333333
2019-09-24,566,1427,-861,81.92666666666666
2019-09-25,1327,646,681,89.04
2019-09-26,835,1155,-320,80.11333333333333
2019-09-27,800,1183,-383,78.32
2019-09-30,1188,799,389,83.89333333333333
2019-10-01,375,1625,-1250,75.14666666666666
2019-10-02,383,1604,-1221,69.27333333333333
2019-10-03,1247,726,521,69.56
2019-10-04,1563,421,1142,79.48
2019-10-07,660,1323,-663,77.16666666666667
2019-10-08,406,1594,-1188,77.08
2019-10-09,1358,626,732,87.42
2019-10-10,1267,722,545,92.94666666666667
2019-10-11,1530,485,1045,90.63333333333334
2019-10-14,768,1203,-435,85.72666666666667
2019-10-15,1374,628,746,85.50666666666666
2019-10-16,984,999,-15,87.89333333333333
2019-10-17,1373,619,754,90.74666666666667
2019-10-18,980,993,-13,85.64
2019-10-21,1429,559,870,94.10666666666667
2019-10-22,1127,862,265,98.36666666666666
2019-10-23,1222,759,463,95.3
2019-10-24,858,1109,-251,103.02666666666667
2019-10-25,1150,829,321,103.94666666666667
2019-10-28,1163,834,329,99.40666666666667
2019-10-29,1138,848,290,102.45333333333333
2019-10-30,1040,948,92,98.51333333333334
2019-10-31,728,1274,-546,91.8
2019-11-01,1518,484,1034,91.40666666666667
2019-11-04,1251,738,513,96.84666666666666
2019-11-05,1021,971,50,94.78
2019-11-06,941,1053,-112,90.14666666666666
2019-11-07,1006,983,23,84.25333333333333
2019-11-08,1025,961,64,83.18
2019-11-11,877,1104,-227,88.8
2019-11-12,886,1098,-212,80.56666666666666
2019-11-13,829,1164,-335,77.04666666666667
2019-11-14,1044,950,94,73.85333333333334
2019-11-15,1279,714,565,79.18666666666667
2019-11-18,852,1133,-281,76.22666666666667
2019-11-19,1005,976,29,78.91333333333333
2019-11-20,811,1185,-374,76.18
2019-11-21,728,1262,-534,75.68
2019-11-22,1206,766,440,71.42666666666666
2019-11-25,1524,476,1048,78.48
2019-11-26,1094,896,198,83.64
2019-11-27,1311,668,643,81.82
2019-11-29,634,1351,-717,74.78666666666666
2019-12-02,490,1509,-1019,66.85333333333334
2019-12-03,728,1268,-540,67.72
2019-12-04,1424,581,843,73.92
2019-12-05,1168,819,349,67.6
2019-12-06,1547,466,1081,77.48
2019-12-09,948,1043,-95,86.12666666666667
2019-12-10,944,1049,-105,87.17333333333333
2019-12-11,1211,778,433,92.12
2019-12-12,1301,711,590,92.17333333333333
2019-12-13,874,1113,-239,100.30666666666667
2019-12-16,1407,601,806,99.32
2019-12-17,1227,775,452,98.72
2019-12-18,1208,799,409,96.62666666666667
2019-12-19,1164,832,332,105.82
2019-12-20,1229,780,449,112.64666666666666
2019-12-23,1021,974,47,104.94
2019-12-24,1118,864,254,111.8
2019-12-26,1242,749,493,123.3
2019-12-27,840,1140,-300,116.48666666666666
2019-12-30,772,1236,-464,118.98666666666666
2019-12-31,1313,671,642,129.12
2020-01-02,1129,885,244,130.92666666666668
2020-01-03,822,1185,-363,134.78666666666666
2020-01-06,1046,938,108,130.60666666666665
2020-01-07,855,1159,-304,119.90666666666667
2020-01-08,1168,839,329,121.64
2020-01-09,1122,882,240,120.97333333333333
2020-01-10,866,1143,-277,112.91333333333333
2020-01-13,1461,540,921,115.99333333333334
2020-01-14,1083,923,160,115.88666666666667
2020-01-15,1162,843,319,118.72
2020-01-16,1532,461,1071,120.54666666666667
2020-01-17,968,1031,-63,123.86
2020-01-21,761,1259,-498,120.30666666666667
2020-01-22,998,1011,-13,114.26666666666667
2020-01-23,1024,960,64,111.65333333333334
2020-01-24,501,1517,-1016,99.0
2020-01-27,339,1696,-1357,93.77333333333333
2020-01-28,1494,523,971,103.26
2020-01-29,911,1098,-187,106.94666666666667
2020-01-30,1004,982,22,106.02
2020-01-31,273,1760,-1487,89.3
2020-02-03,1346,666,680,86.08
2020-02-04,1524,503,1021,90.47333333333333
2020-02-05,1635,392,1243,98.57333333333334
2020-02-06,905,1110,-205,90.68
2020-02-07,612,1404,-792,85.07333333333334
2020-02-10,1215,802,413,92.43333333333334
2020-02-11,1438,578,860,98.13333333333334
2020-02-12,1351,668,683,99.88666666666667
2020-02-13,928,1086,-158,99.01333333333334
2020-02-14,1009,1004,5,95.04666666666667
2020-02-18,806,1198,-392,93.62666666666667
2020-02-19,1220,782,438,96.36
2020-02-20,1130,879,251,103.26
2020-02-21,596,1426,-830,96.7
2020-02-24,188,1874,-1686,88.36666666666666
2020-02-25,165,1893,-1728,77.76
2020-02-26,591,1443,-852,66.92
2020-02-27,153,1909,-1756,49.00666666666667
2020-02-28,498,1568,-1070,48.5
2020-03-02,1722,333,1389,52.36666666666667
2020-03-03,543,1503,-960,46.84
2020-03-04,1779,266,1513,53.833333333333336
2020-03-05,187,1870,-1683,47.54666666666667
2020-03-06,396,1662,-1266,44.43333333333333
2020-03-09,45,2030,-1985,35.68666666666667
2020-03-10,1617,431,1186,54.74666666666667
2020-03-11,69,2005,-1936,36.346666666666664
2020-03-12,45,2038,-1993,22.906666666666666
2020-03-13,1835,231,1604,24.22
2020-03-16,86,1994,-1908,17.96
2020-03-17,1369,691,678,29.24
2020-03-18,136,1940,-1804,11.226666666666667
2020-03-19,1544,519,1025,29.973333333333333
2020-03-20,791,1268,-477,27.093333333333334
2020-03-23,489,1576,-1087,9.84
2020-03-24,1930,136,1794,13.846666666666666
2020-03-25,1616,445,1171,26.086666666666666
2020-03-26,1795,264,1531,30.286666666666665
2020-03-27,410,1655,-1245,23.953333333333333
2020-03-30,1267,789,478,37.77333333333333
2020-03-31,876,1168,-292,30.213333333333335
2020-04-01,149,1924,-1775,24.16
2020-04-02,1272,766,506,20.85333333333333
2020-04-03,387,1657,-1270,3.54
2020-04-06,1938,131,1807,13.353333333333333
2020-04-07,1419,635,784,22.80666666666667
2020-04-08,1859,206,1653,25.013333333333332
2020-04-09,1759,305,1454,28.746666666666666
2020-04-13,478,1581,-1103,20.28
2020-04-14,1524,527,997,22.726666666666667
2020-04-15,252,1813,-1561,8.646666666666667
2020-04-16,713,1335,-622,-2.2933333333333334
2020-04-17,1806,247,1559,8.306666666666667
2020-04-20,391,1668,-1277,-0.30666666666666664
2020-04-21,362,1680,-1318,-9.773333333333333
2020-04-22,1455,591,864,-3.78
2020-04-23,1201,849,352,0.64
2020-04-24,1275,765,510,4.513333333333334
2020-04-27,1692,370,1322,13.893333333333333
2020-04-28,1531,522,1009,19.993333333333332
2020-04-29,1840,228,1612,36.48
2020-04-30,392,1653,-1261,23.533333333333335
2020-05-01,248,1818,-1570,15.2
2020-05-04,922,1120,-198,16.433333333333334
2020-05-05,1201,846,355,16.206666666666667
2020-05-06,584,1447,-863,18.786666666666665
2020-05-07,1540,486,1054,33.95333333333333
2020-05-08,1775,279,1496,40.45333333333333
2020-05-11,593,1442,-849,27.18
2020-05-12,389,1662,-1273,23.113333333333333
2020-05-13,205,1861,-1656,19.993333333333332
2020-05-14,1188,868,320,17.246666666666666
2020-05-15,1210,815,395,16.246666666666666
2020-05-18,1885,173,1712,20.69333333333333
2020-05-19,669,1377,-708,18.873333333333335
2020-05-20,1710,344,1366,23.006666666666668
2020-05-21,977,1067,-90,22.506666666666668
2020-05-22,1112,924,188,18.733333333333334
2020-05-26,1781,276,1505,28.85333333333333
2020-05-27,1719,329,1390,32.32
2020-05-28,765,1283,-518,27.1
2020-05-29,894,1166,-272,22.2
2020-06-01,1592,480,1112,31.286666666666665
2020-06-02,1565,489,1076,36.32
2020-06-03,1700,362,1338,43.04666666666667
2020-06-04,1134,922,212,42.526666666666664
2020-06-05,1808,264,1544,52.20666666666666
2020-06-08,1688,380,1308,64.56666666666666
2020-06-09,342,1717,-1375,48.50666666666667
2020-06-10,457,1609,-1152,37.406666666666666
2020-06-11,30,2067,-2037,23.493333333333332
2020-06-12,1773,303,1470,34.04
2020-06-15,1387,660,727,38.733333333333334
2020-06-16,1738,327,1411,47.71333333333333
2020-06-17,519,1535,-1016,42.45333333333333
2020-06-18,831,1205,-374,41.373333333333335
2020-06-19,652,1384,-732,38.72666666666667
2020-06-22,1110,931,179,39.29333333333334
2020-06-23,1145,894,251,37.2
2020-06-24,171,1898,-1727,27.56
2020-06-25,1428,621,807,32.74666666666667
2020-06-26,332,1744,-1412,25.826666666666668
2020-06-29,1679,381,1298,38.04
2020-06-30,1497,575,922,41.25333333333333
2020-07-01,904,1153,-249,32.60666666666667
2020-07-02,1265,784,481,34.49333333333333
2020-07-06,1530,544,986,36.78
2020-07-07,429,1646,-1217,33.446666666666665
2020-07-08,1234,812,422,43.053333333333335
2020-07-09,384,1688,-1304,37.96
2020-07-10,1627,445,1182,40.22
2020-07-13,782,1287,-505,34.526666666666664
2020-07-14,1471,601,870,33.12
2020-07-15,1793,286,1507,43.8
2020-07-16,809,1239,-430,41.63333333333333
2020-07-17,1090,962,128,39.6
2020-07-20,782,1267,-485,32.43333333333333
2020-07-21,1631,441,1190,41.96
2020-07-22,1249,801,448,39.57333333333333
2020-07-23,906,1144,-238,34.973333333333336
2020-07-24,586,1457,-871,26.44
2020-07-27,1290,772,518,27.68
2020-07-28,846,1197,-351,22.346666666666668
2020-07-29,1732,346,1386,31.273333333333333
2020-07-30,614,1457,-843,23.96
2020-07-31,794,1268,-474,17.513333333333332
2020-08-03,1361,716,645,23.813333333333333
2020-08-04,1380,693,687,31.486666666666668
2020-08-05,1519,535,984,33.766666666666666
2020-08-06,1000,1052,-52,31.793333333333333
2020-08-07,1356,713,643,38.5
2020-08-10,1540,545,995,44.413333333333334
2020-08-11,1049,1020,29,46.63333333333333
2020-08-12,1265,811,454,47.46666666666667
2020-08-13,697,1368,-671,41.39333333333333
2020-08-14,1004,1044,-40,42.973333333333336
2020-08-17,1006,1056,-50,36.5
2020-08-18,633,1437,-804,30.073333333333334
2020-08-19,782,1281,-499,24.62
2020-08-20,719,1351,-632,13.266666666666667
2020-08-21,639,1429,-790,8.42
2020-08-24,1559,516,1043,18.69333333333333
2020-08-25,951,1114,-163,17.69333333333333
2020-08-26,739,1334,-595,13.3
2020-08-27,1183,874,309,22.133333333333333
2020-08-28,1528,540,988,37.766666666666666
2020-08-31,538,1545,-1007,24.58
2020-09-01,1357,721,636,30.066666666666666
2020-09-02,1497,573,924,36.08
2020-09-03,360,1731,-1371,36.85333333333333
2020-09-04,862,1218,-356,29.946666666666665
2020-09-08,388,1698,-1310,14.406666666666666
2020-09-09,1536,555,981,12.66
2020-09-10,498,1580,-1082,6.8133333333333335
2020-09-11,1054,1019,35,12.326666666666666
2020-09-14,1667,417,1250,17.906666666666666
2020-09-15,1067,1004,63,12.593333333333334
2020-09-16,1296,771,525,11.54
2020-09-17,777,1297,-520,9.126666666666667
2020-09-18,608,1472,-864,3.3333333333333335
2020-09-21,231,1879,-1648,-5.04
2020-09-22,1143,941,202,-6.613333333333333
2020-09-23,194,1930,-1736,-19.86
2020-09-24,1104,972,132,-13.446666666666667
2020-09-25,1461,607,854,3.486666666666667
2020-09-28,1822,282,1540,25.273333333333333
2020-09-29,656,1424,-768,25.833333333333332
2020-09-30,1216,872,344,39.833333333333336
2020-10-01,1410,687,723,51.78666666666667
2020-10-02,1400,684,716,47.3
2020-10-05,1674,436,1238,61.95333333333333
2020-10-06,738,1356,-618,47.74666666666667
2020-10-07,1628,475,1153,66.65333333333334
2020-10-08,1673,423,1250,83.42666666666666
2020-10-09,1078,1019,59,97.05333333333333
2020-10-12,1334,755,579,93.00666666666666
2020-10-13,554,1551,-997,99.26666666666667
2020-10-14,798,1296,-498,109.23333333333333
2020-10-15,1209,885,324,100.7
2020-10-16,872,1225,-353,111.06666666666666
2020-10-19,469,1637,-1168,98.76
2020-10-20,1505,587,918,116.90666666666667
2020-10-21,792,1311,-519,106.61333333333333
2020-10-22,1453,658,795,115.09333333333333
2020-10-23,1283,806,477,125.52
2020-10-26,214,1926,-1712,102.14666666666666
2020-10-27,553,1546,-993,87.72
2020-10-28,159,1978,-1819,65.38666666666667
2020-10-29,1486,623,863,79.44
2020-10-30,734,1377,-643,71.96666666666667
2020-11-02,1749,375,1374,83.07333333333334
2020-11-03,1830,308,1522,105.05333333333333
2020-11-04,1020,1105,-85,101.11333333333333
2020-11-05,1809,317,1492,119.52666666666667
2020-11-06,844,1269,-425,104.64666666666666
2020-11-09,1655,488,1167,107.2
2020-11-10,1513,603,910,102.24666666666667
2020-11-11,1012,1102,-90,91.95333333333333
2020-11-12,406,1717,-1311,90.56666666666666
2020-11-13,1813,312,1501,93.92666666666666
2020-11-16,1806,335,1471,114.14
2020-11-17,1203,918,285,120.18666666666667
2020-11-18,751,1353,-602,105.78
2020-11-19,1316,790,526,117.8
2020-11-20,921,1185,-264,124.82666666666667
2020-11-23,1675,463,1212,127.14666666666666
2020-11-24,1744,406,1338,133.72
2020-11-25,833,1288,-455,127.28666666666666
2020-11-27,1102,1022,80,119.00666666666666
2020-11-30,526,1615,-1089,105.02
2020-12-01,1570,574,996,100.91333333333333
2020-12-02,1274,862,412,112.06666666666666
